Date,City,Temperature,Wind speed
2021-06-15,Minsk,12,0
2021-06-15,East Russell,18,7
2021-06-15,Ericaview,9,3
2021-06-15,North Chad,13,4
2021-06-15,North Angelshire,17,4
2021-06-14,Minsk,10,8
2021-06-14,East Russell,22,12
2021-06-14,Ericaview,12,1
2021-06-14,North Chad,10,9
2021-06-14,North Angelshire,12,11
2021-06-13,Minsk,22,7
2021-06-13,East Russell,10,4
2021-06-13,Ericaview,13,11
2021-06-13,North Chad,19,1
2021-06-13,North Angelshire,17,6
2021-06-12,Minsk,10,9
2021-06-12,East Russell,21,1
2021-06-12,Ericaview,16,14
2021-06-12,North Chad,22,9
2021-06-12,North Angelshire,11,13
2021-06-11,Minsk,13,3
2021-06-11,East Russell,16,9
2021-06-11,Ericaview,16,12
2021-06-11,North Chad,10,13
2021-06-11,North Angelshire,21,7
2021-06-10,Minsk,22,11
2021-06-10,East Russell,11,11
2021-06-10,Ericaview,15,0
2021-06-10,North Chad,17,15
2021-06-10,North Angelshire,10,2
2021-06-09,Minsk,13,2
2021-06-09,East Russell,14,12
2021-06-09,Ericaview,16,6
2021-06-09,North Chad,19,13
2021-06-09,North Angelshire,11,9
2021-06-08,Minsk,21,1
2021-06-08,East Russell,10,8
2021-06-08,Ericaview,20,8
2021-06-08,North Chad,13,6
2021-06-08,North Angelshire,10,12
2021-06-07,Minsk,19,12
2021-06-07,East Russell,9,12
2021-06-07,Ericaview,19,2
2021-06-07,North Chad,14,11
2021-06-07,North Angelshire,10,3
2021-06-06,Minsk,17,12
2021-06-06,East Russell,22,7
2021-06-06,Ericaview,11,0
2021-06-06,North Chad,20,1
2021-06-06,North Angelshire,9,0
2021-06-05,Minsk,18,13
2021-06-05,East Russell,12,1
2021-06-05,Ericaview,12,1
2021-06-05,North Chad,14,8
2021-06-05,North Angelshire,17,12
2021-06-04,Minsk,17,14
2021-06-04,East Russell,18,6
2021-06-04,Ericaview,20,9
2021-06-04,North Chad,19,3
2021-06-04,North Angelshire,21,8
2021-06-03,Minsk,19,8
2021-06-03,East Russell,12,9
2021-06-03,Ericaview,20,7
2021-06-03,North Chad,12,3
2021-06-03,North Angelshire,11,14
2021-06-02,Minsk,17,12
2021-06-02,East Russell,12,13
2021-06-02,Ericaview,11,0
2021-06-02,North Chad,16,2
2021-06-02,North Angelshire,20,1
2021-06-01,Minsk,22,13
2021-06-01,East Russell,18,15
2021-06-01,Ericaview,10,13
2021-06-01,North Chad,13,3
2021-06-01,North Angelshire,14,0
2021-05-31,Minsk,10,4
2021-05-31,East Russell,9,0
2021-05-31,Ericaview,20,12
2021-05-31,North Chad,18,12
2021-05-31,North Angelshire,18,6
2021-05-30,Minsk,18,0
2021-05-30,East Russell,16,9
2021-05-30,Ericaview,10,6
2021-05-30,North Chad,20,9
2021-05-30,North Angelshire,18,15
2021-05-29,Minsk,14,11
2021-05-29,East Russell,19,11
2021-05-29,Ericaview,20,0
2021-05-29,North Chad,15,4
2021-05-29,North Angelshire,18,9
2021-05-28,Minsk,12,12
2021-05-28,East Russell,9,5
2021-05-28,Ericaview,22,7
2021-05-28,North Chad,20,1
2021-05-28,North Angelshire,20,4
2021-05-27,Minsk,21,8
2021-05-27,East Russell,16,3
2021-05-27,Ericaview,19,12
2021-05-27,North Chad,15,1
2021-05-27,North Angelshire,17,7
2021-05-26,Minsk,12,7
2021-05-26,East Russell,22,2
2021-05-26,Ericaview,19,13
2021-05-26,North Chad,20,12
2021-05-26,North Angelshire,13,13
2021-05-25,Minsk,19,0
2021-05-25,East Russell,20,12
2021-05-25,Ericaview,19,7
2021-05-25,North Chad,11,15
2021-05-25,North Angelshire,13,6
2021-05-24,Minsk,14,4
2021-05-24,East Russell,17,1
2021-05-24,Ericaview,18,1
2021-05-24,North Chad,18,2
2021-05-24,North Angelshire,19,10
2021-05-23,Minsk,9,7
2021-05-23,East Russell,11,11
2021-05-23,Ericaview,15,0
2021-05-23,North Chad,20,2
2021-05-23,North Angelshire,10,10
2021-05-22,Minsk,21,0
2021-05-22,East Russell,20,5
2021-05-22,Ericaview,20,13
2021-05-22,North Chad,14,8
2021-05-22,North Angelshire,9,6
2021-05-21,Minsk,15,1
2021-05-21,East Russell,10,14
2021-05-21,Ericaview,22,9
2021-05-21,North Chad,21,0
2021-05-21,North Angelshire,13,2
2021-05-20,Minsk,17,5
2021-05-20,East Russell,12,7
2021-05-20,Ericaview,10,8
2021-05-20,North Chad,20,1
2021-05-20,North Angelshire,20,14
2021-05-19,Minsk,11,14
2021-05-19,East Russell,17,10
2021-05-19,Ericaview,17,10
2021-05-19,North Chad,20,1
2021-05-19,North Angelshire,20,7
2021-05-18,Minsk,11,0
2021-05-18,East Russell,13,11
2021-05-18,Ericaview,11,7
2021-05-18,North Chad,10,0
2021-05-18,North Angelshire,13,3
2021-05-17,Minsk,17,10
2021-05-17,East Russell,17,7
2021-05-17,Ericaview,18,8
2021-05-17,North Chad,21,3
2021-05-17,North Angelshire,12,12
2021-05-16,Minsk,21,1
2021-05-16,East Russell,21,15
2021-05-16,Ericaview,10,14
2021-05-16,North Chad,9,9
2021-05-16,North Angelshire,20,0
