Day,Month,Year
27,11,2020
02,10,1976
02,04,1981
28,08,1971
30,06,1999
29,04,2009
19,04,1986
23,04,2008
30,07,2000
15,08,1993
17,02,1980
02,02,2007
16,12,1980
07,04,1973
10,09,2011
14,05,2013
12,06,2007
28,04,2004
13,02,1991
08,01,1991
30,07,1977
19,06,2003
02,06,1984
23,09,2019
11,09,1975
24,08,1977
16,08,2000
27,02,2015
09,05,1977
27,07,1996
31,08,2011
06,09,1974
15,09,2007
29,12,2012
10,01,2003
30,12,2004
05,12,1982
06,02,1976
19,05,1987
24,05,1974
05,12,1994
03,11,2017
25,12,2009
08,07,2006
04,09,1988
02,07,1975
11,09,1995
05,07,2018
09,06,1997
07,12,1999
14,11,2004
07,06,2017
09,05,1995
12,11,1990
02,06,1975
02,05,1976
15,05,1970
31,05,1996
31,07,1994
15,08,1999
06,11,1972
23,01,2017
24,11,2000
24,06,2018
27,02,2017
23,08,2019
28,03,1978
12,10,2012
16,09,1976
25,07,1999
22,10,1978
22,11,1987
14,06,1994
21,06,1975
06,02,1999
10,07,2007
16,01,2018
05,12,1975
15,03,2015
07,05,1999
28,11,2010
31,10,2006
10,10,2013
12,12,2007
26,11,1986
23,08,1970
27,09,1988
10,09,1970
22,02,1973
20,11,2020
11,09,1970
08,02,1984
24,11,1994
26,09,2006
01,10,1998
15,04,1981
22,12,1975
15,05,2021
03,12,1974
14,08,2008
11,07,1973
15,07,2000
26,09,2006
03,02,1984
14,07,1986
05,09,1974
28,03,2002
06,12,2006
11,11,2019
26,11,1986
05,06,1991
14,08,1992
03,10,1972
19,07,1982
11,05,2003
11,09,1998
16,02,1983
04,06,1988
11,01,2009
20,12,1997
17,07,2016
09,10,1983
10,05,1986
20,01,2013
28,12,2003
12,02,2010
18,02,1999
10,02,2010
19,07,2002
19,08,2007
05,08,2007
12,06,2006
13,01,1970
13,09,1984
20,08,1998
29,10,2015
01,06,1998
02,03,2008
25,11,2020
08,09,1978
09,09,1984
10,01,1993
06,06,2012
18,05,1988
20,10,1994
10,09,2013
24,05,1972
25,03,2016
17,08,1985
21,03,2016
02,06,1992
15,03,1991
16,10,1987
14,03,2021
31,01,1994
16,07,1986
10,02,1993
03,04,1990
15,10,1998
07,11,1993
18,04,2003
01,09,2017
16,02,1995
24,08,1976
24,04,2011
17,03,1976
13,10,1977
11,12,2004
11,11,2009
19,01,1970
23,05,2000
19,04,1984
21,03,2003
03,07,2016
22,11,1984
30,07,1997
08,06,1972
13,08,1972
29,01,2018
16,12,1996
09,04,1973
16,04,1990
30,09,1980
15,10,1989
27,03,2010
18,02,1977
14,01,1983
01,02,1993
21,01,2020
10,10,2014
12,11,1987
19,02,2014
24,02,1984
06,11,1994
29,09,2007
04,06,1970
21,10,1989
03,12,1979
03,12,2000
27,05,1984
14,09,1989
14,03,2002
25,09,1985
16,01,1986
04,02,1998
08,06,1995
23,12,1982
18,04,2005
25,09,2011
05,07,2019
23,09,2016
04,10,2009
13,09,1981
24,10,1971
27,02,1977
03,02,1972
25,04,1971
01,06,2018
05,04,1978
28,11,2007
20,10,1983
11,07,1986
05,03,1997
28,04,1977
06,05,2008
24,11,1975
27,06,1982
28,12,1998
04,01,1981
17,02,1973
11,05,1995
25,07,1986
12,02,1991
15,08,1972
30,11,2001
01,10,2002
12,10,2018
27,11,2009
16,03,1998
20,03,1979
28,03,2013
30,11,1980
21,04,1996
05,09,1985
13,04,1985
21,12,1984
03,04,2018
08,06,1996
19,01,2005
01,06,2004
15,06,1984
07,11,2001
08,08,2012
04,08,1981
09,08,1989
13,02,2019
17,11,1978
30,07,1991
14,01,1971
19,12,1980
05,01,2019
20,05,1993
05,09,2003
26,03,1976
17,03,1986
23,12,2007
23,01,2006
06,01,1981
21,09,1980
31,01,1973
07,04,2010
04,04,2015
25,10,2015
28,08,2020
26,05,1999
24,09,1999
14,02,1999
12,04,1989
17,01,2004
05,04,2016
23,02,1995
27,07,1979
15,06,1979
13,10,2012
13,11,1996
22,03,1978
20,07,2019
10,11,2009
17,10,2011
28,08,2005
24,04,2012
02,03,2003
18,02,2007
09,12,2014
31,05,1987
06,10,1998
04,02,1993
05,04,1974
26,04,2010
25,09,1975
