Day,Month,Year
30,01,2021
05,05,1990
03,06,1990
31,10,1985
11,01,2008
14,05,1971
17,01,1999
23,06,1995
04,02,1987
12,03,2019
10,10,1990
17,03,2002
19,07,1982
27,08,2005
06,09,1976
12,07,1980
10,07,1982
12,10,1982
25,08,1972
06,02,1990
30,01,1994
30,07,2016
10,04,1976
29,12,2009
16,04,1975
27,12,1975
26,06,1999
06,05,1976
22,01,2013
13,11,1992
20,09,2014
26,12,2008
21,08,2019
22,05,1985
19,10,2006
28,03,2014
26,01,1997
03,09,1988
09,07,1970
02,05,2008
23,06,2007
22,01,1980
26,11,1994
12,10,1985
20,04,1988
24,09,1971
27,03,2005
11,04,1979
21,01,2014
02,09,1853
09,11,1974
03,01,1980
01,09,2006
08,01,1986
27,07,1983
16,04,1972
04,06,1998
29,04,2012
26,11,2003
08,03,2018
25,12,1983
10,02,1984
14,09,1996
22,09,1982
19,12,1990
02,08,2007
04,02,2000
24,01,1999
12,02,2018
19,02,1979
13,11,1980
04,09,2008
15,02,2014
02,08,1976
31,01,2013
21,03,1982
06,02,1979
19,04,1972
22,12,2013
30,04,1978
22,02,1973
02,10,2007
26,05,1974
14,10,1988
22,11,1992
21,08,1977
14,06,2010
16,05,2000
24,03,1991
28,05,1970
14,03,1986
03,08,2014
02,03,2018
05,06,2003
03,02,1993
16,03,1983
14,02,1976
20,11,1971
21,03,1989
18,06,1988
18,07,2009
05,03,1999
17,12,2006
25,01,1992
24,02,1997
27,05,1990
01,09,1983
16,04,1996
07,01,2020
16,02,2001
12,11,2000
26,12,2002
21,02,1975
11,05,1972
25,06,1995
10,12,1972
28,11,2010
21,02,1983
27,01,1986
02,11,2006
16,04,1997
15,04,1974
07,03,2012
08,09,1990
22,07,2010
10,02,2020
09,01,2000
13,04,1980
01,01,1972
01,12,2003
12,10,2004
23,04,1982
12,12,1985
17,05,1988
09,10,2010
03,12,1983
25,12,2006
20,04,1979
22,11,2020
24,04,1971
22,09,2014
23,07,1976
20,06,1991
21,11,1974
29,07,2002
05,03,1998
19,06,2010
02,11,1988
10,12,2002
21,12,1986
09,05,2016
04,05,1970
09,02,2021
18,10,1999
02,03,1995
02,03,1993
23,08,2017
13,10,1987
13,10,1990
03,04,1980
06,03,1973
12,03,1977
24,05,1989
01,02,1997
06,11,1982
25,10,2008
23,02,2013
25,06,1998
23,03,2019
03,05,1972
05,01,1986
21,12,1992
18,10,2003
31,07,1976
24,08,1976
07,02,2011
07,06,2003
19,04,2001
09,09,1972
03,09,1983
30,10,1973
28,02,1996
08,10,2016
05,02,2016
11,04,1971
27,08,1982
25,04,1996
14,08,2006
24,09,1972
17,10,1981
20,02,2019
27,10,1984
06,01,1994
12,12,1983
04,10,2009
28,01,2004
29,10,2016
15,03,2004
23,07,2000
21,09,1988
07,03,2014
01,08,1981
27,07,2000
23,04,2006
14,06,1977
02,09,1986
01,10,2011
13,10,2002
18,08,2011
04,10,2013
22,08,1997
10,11,1981
25,09,1984
02,09,2012
05,04,1979
06,05,1987
06,01,2011
08,05,1974
30,08,1983
05,09,2020
19,03,1985
27,04,2003
11,11,2018
14,05,2005
15,06,1988
20,07,1981
13,02,1998
23,09,2011
05,10,1980
01,03,1979
11,07,1975
07,02,1997
12,08,1971
19,01,1974
19,11,1982
27,09,2015
05,01,2015
21,12,1970
19,08,1996
15,11,2019
25,02,1992
18,06,1991
26,04,1990
16,10,2004
06,07,1990
17,12,1991
19,01,1973
29,12,1988
13,12,1993
19,06,1999
23,06,2003
08,01,1989
05,12,2002
19,01,2010
17,06,1987
16,07,2009
09,05,2021
23,02,1978
08,04,2006
26,01,1994
24,01,2012
24,05,1982
31,08,1980
02,04,1980
06,01,2010
22,04,2008
19,01,1970
16,08,1998
07,11,2009
09,12,2003
09,02,2004
28,06,1982
06,07,1997
06,06,2006
30,01,2018
06,05,1978
02,12,2006
11,04,1994
09,01,1988
22,06,1971
15,05,2007
24,10,2009
13,05,2000
29,09,2015
16,09,2003
18,01,1976
11,01,2016
04,10,2012
19,05,2000
01,08,1991
02,06,2005
13,07,1970
23,03,2014
08,06,2015
02,09,1976
28,05,2002
14,08,2011
18,12,1996
27,10,1985
20,12,2004
